Voltage Sep. (m),Voltage Locale (m),Current Locale (m),Voltage (mV),Current (mA)
0.6,0.3,0.9,5750,23
,,,5930,24
,,,5850,24
,,,5950,25
1,0.5,1.5,3650,30
,,,3690,30
,,,3670,30
,,,3710,30
1.6,0.8,2.4,1462,31
,,,1820,31
,,,1787,31
,,,1840,31
2,1,3,668,19
,,,821,19
,,,676,19
,,,825,19
3,1.5,4.5,439,26
,,,612,26
,,,446,26
,,,612,26
6,3,9,173,22
,,,258,22
,,,171,22
,,,258,22
9,4.5,13.5,211,28
,,,240,29
,,,210,28
,,,241,29
15,7.5,22.5,86,16
,,,132,16
,,,85,16
,,,132,16
20,10,30,97,23
,,,202,23
,,,96,23
,,,202,23
30,15,45,87,25
,,,140,26
,,,85,26
,,,138,26
60,30,90,4,10
,,,63,10
,,,5,10
,,,62,10
